sol_id	freq_at_min_strain	improvement_vs_aligo	improvement_vs_voyager	longest_space_m	max_strain_best	min_strain_best	mirrors_R_interior	mirrors_R_near_one	mirrors_R_near_zero	n_arm_spaces_gt_1km	n_beamsplitters	n_directional_bs	n_homodyne_detectors	n_lasers	n_mirrors	n_parameters	n_signal_injections	n_spaces	n_squeezers	voyager_min_in_band
sol00	1280.69	7.0554077479668384	4.048802970428709	3846.9567246813313	4.92592e-25	1.18184e-25	28.0	9.0	20.0	6.0	13.0	1.0	1.0	3.0	57.0	108.0	26.0	78.0	0.0	4.89212e-25
sol01	850.15	5.847652421144617	3.3557227786852857	3985.296975032165	3.79697e-25	1.19497e-25	21.0	6.0	14.0	5.0	11.0	1.0	1.0	4.0	41.0	91.0	19.0	62.0	0.0	4.89212e-25
sol02	1058.73	4.669227723934751	2.6794742066782615	3885.171820436684	1.12746e-24	1.34171e-25	13.0	12.0	19.0	6.0	7.0	2.0	1.0	2.0	44.0	65.0	20.0	58.0	1.0	4.89212e-25
sol03	1098.65	3.871467113154931	2.2216728086588295	3917.5540975089157	1.28243e-24	1.60204e-25	13.0	10.0	22.0	6.0	7.0	2.0	1.0	3.0	45.0	56.0	19.0	62.0	3.0	4.89212e-25
sol04	896.307	3.109814372297029	1.7845922047051739	3863.9434345846535	1.0779e-24	2.15036e-25	25.0	16.0	21.0	6.0	11.0	4.0	1.0	4.0	62.0	94.0	28.0	88.0	2.0	4.89212e-25
sol05	2434.58	2.273474744318462	1.3046519247089314	3597.4679115892272	1.34676e-24	4.0134e-25	15.0	5.0	23.0	6.0	7.0	1.0	1.0	4.0	43.0	63.0	20.0	58.0	0.0	4.89212e-25
sol06	868.32	2.229950865743967	1.2796753939183791	3999.9483884519595	1.12976e-24	2.7778e-25	15.0	11.0	13.0	6.0	6.0	5.0	1.0	1.0	39.0	59.0	18.0	57.0	3.0	4.89212e-25
sol07	1087.09	1.9867710041427002	1.140124657636216	3999.934315470658	1.22188e-24	3.95334e-25	17.0	14.0	16.0	6.0	8.0	5.0	1.0	2.0	47.0	67.0	22.0	69.0	3.0	4.89212e-25
sol08	1087.09	1.9852864158482872	1.1392727146003205	3999.928234433037	1.22191e-24	3.95906e-25	18.0	16.0	13.0	6.0	8.0	5.0	1.0	3.0	47.0	78.0	23.0	71.0	3.0	4.89212e-25
sol09	1081.36	1.9601600322260901	1.1248537355306845	3964.9871788558426	1.21736e-24	4.00971e-25	16.0	11.0	15.0	5.0	9.0	4.0	1.0	2.0	42.0	58.0	21.0	64.0	2.0	4.89212e-25
sol10	1081.36	1.9590582628292739	1.1242214762246445	3965.780512995841	1.21951e-24	4.00623e-25	18.0	9.0	14.0	6.0	8.0	4.0	1.0	4.0	41.0	65.0	20.0	64.0	1.0	4.89212e-25
sol11	1089.97	1.9411052656727434	1.1139190031696458	3903.746161041377	1.22872e-24	4.10772e-25	15.0	10.0	11.0	4.0	10.0	2.0	1.0	2.0	36.0	60.0	19.0	56.0	1.0	4.89212e-25
sol12	1087.09	1.9408777018251298	1.1137884138096692	3903.9927660097983	1.23148e-24	4.10355e-25	19.0	7.0	11.0	3.0	10.0	2.0	1.0	2.0	37.0	67.0	17.0	57.0	2.0	4.89212e-25
sol13	1116.21	1.9213231195231169	1.102566858126697	3867.545468742018	1.20601e-24	4.22258e-25	22.0	10.0	16.0	6.0	11.0	2.0	1.0	1.0	48.0	95.0	23.0	71.0	7.0	4.89212e-25
sol14	1386.4	1.84865475804176	1.0608655293967324	3998.399465706992	1.3072e-24	4.41918e-25	22.0	10.0	15.0	7.0	11.0	2.0	1.0	2.0	47.0	96.0	24.0	72.0	4.0	4.89212e-25
sol15	1368.19	1.8396533257595542	1.0556999844609618	3887.4587703718494	1.26895e-24	4.5086e-25	26.0	8.0	11.0	9.0	12.0	1.0	1.0	4.0	45.0	75.0	24.0	70.0	2.0	4.89212e-25
sol16	1423.53	1.8130168194825913	1.040414409255604	3989.0041260506896	1.23227e-24	4.6659e-25	26.0	11.0	9.0	5.0	11.0	2.0	1.0	2.0	46.0	74.0	22.0	65.0	1.0	4.89212e-25
sol17	1336.02	1.7881321930509404	1.026134164510924	3928.311037157424	1.30946e-24	4.76764e-25	16.0	13.0	15.0	6.0	6.0	6.0	1.0	1.0	44.0	67.0	21.0	64.0	2.0	4.89212e-25
sol18	1224.41	1.7655905567132395	1.0131984636382556	3999.2642471042377	1.3444e-24	3.99018e-25	31.0	7.0	10.0	6.0	11.0	2.0	1.0	2.0	48.0	97.0	25.0	72.0	3.0	4.89212e-25
sol19	1735.69	1.753713866168349	1.006382928424026	3999.9729083579696	1.35079e-24	4.84046e-25	24.0	12.0	11.0	7.0	8.0	5.0	1.0	3.0	47.0	90.0	24.0	73.0	4.0	4.89212e-25
sol20	1721.98	1.7526406793446931	1.0057670714594595	3999.8316918680785	1.35978e-24	4.80417e-25	17.0	13.0	14.0	5.0	11.0	2.0	1.0	2.0	44.0	83.0	22.0	66.0	3.0	4.89212e-25
sol21	1717.43	1.7513239988898959	1.0050114836994148	3999.8528474692475	1.36555e-24	4.80948e-25	22.0	10.0	15.0	6.0	6.0	6.0	1.0	3.0	47.0	82.0	23.0	70.0	3.0	4.89212e-25
sol22	1721.98	1.7479148502724746	1.0030551161099122	3999.753571030011	1.36443e-24	4.81701e-25	24.0	10.0	12.0	7.0	11.0	2.0	1.0	3.0	46.0	96.0	21.0	69.0	4.0	4.89212e-25
sol23	1726.54	1.7443554436860018	1.0010125217659598	3998.376408408216	1.3605e-24	4.84804e-25	23.0	10.0	13.0	7.0	11.0	2.0	1.0	3.0	46.0	94.0	24.0	69.0	2.0	4.89212e-25
sol24	1721.98	1.7444277804964228	1.0010540328314241	3999.796253210135	1.36672e-24	4.82654e-25	10.0	12.0	13.0	6.0	5.0	4.0	1.0	2.0	35.0	70.0	16.0	51.0	5.0	4.89212e-25
