id	framework	experiment	params	metric_key	metric_value	wec_satisfied	nec_satisfied	min_G00	min_nec	notes	status	interaction
E00	F1	baseline_alcubierre_v1.5	"{""v"": 1.5}"	min_G00	-0.5826731529050289	False	False	-0.5826731529050289	-1.5778633374266875	Baseline Alcubierre v=1.5c. WEC violated, NEC violated.	KEEP	False
E01	F1	v_threshold_WEC	"{""v_scan"": [0.01, 0.05, 0.1, 0.2, 0.5, 1.0, 1.5, 2.0, 3.0, 5.0]}"	threshold_v	0.01	False	False	-130.74450519387005	0	WEC violation at v=0.01. Any v>0 violates.	KEEP	False
E02	F1	NEC_threshold	"{""v_scan"": [0.1, 0.3, 0.5, 0.7, 1.0, 1.5, 2.0, 3.0]}"	nec_threshold_v	0.1	False	False	0	-16.291268165781638	NEC violation at v=0.1	KEEP	False
E03	F2	KK_grid_scan	"{""grid"": ""5x7""}"	superluminal_WEC_positive	0	False	False	-206.6855193043872	0	0 superluminal WEC-positive points out of 21	KEEP	False
E04	F2	KK_v1.5_alpha_scan	"{""v"": 1.5, ""alpha_range"": ""-2..2""}"	best_min_G00	-0.5261904167405556	False	False	-0.5261904167405556	0	Best alpha=-0.5, min_G00=-0.5262	KEEP	False
E05	F2	KK_critical_alpha	"{""v"": 1.5, ""method"": ""linear_extrapolation""}"	alpha_critical	9999	False	False	-0.7509117968289698	0	Extrapolated alpha_critical=inf. Slope=-0.0862	KEEP	False
E06	F2	KK_physical_meaning	"{""alpha_critical"": 9999}"	physical_feasibility	0	False	False	0	0	alpha_critical=inf means extra dim radius varies by infx in bubble. Physically extreme.	KEEP	False
E07	F3	fR_grid_scan	"{""v_range"": ""0.5-3.0"", ""alpha_R2_range"": ""0.01-10""}"	superluminal_WEC_positive_count	0	False	False	-2228.7072591125543	0	0 superluminal points with positive effective G_00	KEEP	False
E08	F3	fR_correction_sign	"{""v"": 1.5, ""alpha_R2"": 1.0}"	mean_correction	-16.72654485820502	False	False	-0.5826731529050289	0	f(R) correction sign: mixed. Range: [-111.3750, 21.1475]	KEEP	False
E09	F3	fR_critical_alpha_R2	"{""v"": 1.5, ""alphas_tested"": [0.1, 0.5, 1.0, 2.0, 5.0, 10.0, 50.0, 100.0]}"	best_min_G00_eff	-2.1374999999999993	False	False	-2.1374999999999993	0	Best at alpha_R2=0.1, min_G00_eff=-2.1375. Flipped: False	KEEP	False
E10	F3	fR_physical_reasonableness	"{""analysis"": ""analytic""}"	physically_reasonable	0	False	False	0	0	The R^2 correction never flips the sign for any tested alpha_R2 up to 100. The correction is always subdominant to the standard G_00 because the R^2 terms are second-order in curvature while G_00 is first-order. Even Starobinsky-scale alpha (approximately 5e8) would not help because the correction scales as alpha*R^2 while G_00 scales as R, and for the warp geometry |R| >> 1 only near the bubble wall where G_00 is also most negative.	KEEP	False
E11	F4	EC_torsion_contribution	"{""v"": 1.5, ""s0_range"": [0.1, 1.0, 5.0, 10.0, 50.0, 100.0]}"	max_H00_at_s0_100	4870.040123566122	True	False	0.986093140183636	0	Torsion H_00 grows as s0^2. At s0=100: H_00_max=4870.0401, G_00_bare_min=-0.5827	KEEP	False
E12	F4	EC_WEC_flip	"{""v"": 1.5, ""s0_range"": ""1-10000""}"	critical_s0	4.281332398719393	True	False	0.00482111929528227	0	WEC flipped at s0=4.3	KEEP	False
E13	F5	braneworld_Weyl	"{""v"": 1.5, ""C_W_range"": ""-10..10""}"	best_min_G00_eff	-0.3020537067771198	False	False	-0.3020537067771198	0	Best at C_W=-10.0, min_G00_eff=-0.3021. Flipped: False	KEEP	False
E14	F5	braneworld_positive_FTL	"{""v"": 1.5, ""C_W_range"": ""-100..-1""}"	flipped	0	False	False	-0.07436382675109048	0	Braneworld positive-energy FTL: NO. Large negative C_W tested.	KEEP	False
E15	ALL	closest_approach	"{""F1"": {""best_min_G00"": -0.5826731529050289, ""best_params"": ""v=1.5""}, ""F2"": {""best_min_G00"": -0.4781674433506019, ""best_params"": ""alpha=-0.7999999999999998""}, ""F3"": {""best_min_G00"": -2.1374999999999993, ""best_params"": ""alpha_R2=0.1""}, ""F4"": {""best_min_G00"": 9.0, ""best_params"": ""s0=1000.0""}, ""F5"": {""best_min_G00"": -0.07436382675109048, ""best_params"": ""C_W=-100.0""}}"	closest_framework	0.07436382675109048	False	False	-0.07436382675109048	0	Closest: F5. Summary: F1: -0.5827 (v=1.5); F2: -0.4782 (alpha=-0.7999999999999998); F3: -2.1375 (alpha_R2=0.1); F4: 9.0000 (s0=1000.0); F5: -0.0744 (C_W=-100.0)	KEEP	False
E16	ALL	quantum_inequality	"{""method"": ""Ford-Roman bound""}"	QI_gap_orders_of_magnitude	60	False	False	0	0	Ford-Roman quantum inequality: |rho-| * delta_t^4 <= 3/(32 pi^2). For bubble wall thickness approximately 1m: |rho-|_max approximately 10^-3 J/m^3. Required for v=c warp: approximately 10^57 J/m^3. Gap: approximately 60 orders of magnitude. This applies to ALL frameworks because QIs constrain the quantum stress-energy regardless of the classical field equations. Even if a framework permits classical positive energy, the quantum back-reaction at the bubble wall will produce Hawking-like radiation that requires negative energy to sustain.	KEEP	False
E17	ALL	mass_requirements	"{""method"": ""order_of_magnitude""}"	min_mass_solar_masses	1.0	False	False	0	0	Mass requirements (order of magnitude for v=c, R=100m): F1: approximately M_sun (Pfenning-Ford). F2: approximately M_sun (KK correction subdominant). F3: approximately M_sun (f(R) correction subdominant at physical alpha_R2). F4: spin density s0 approximately 10^3 needed, energy approximately s0^2 * V_wall. F5: requires bulk Weyl tensor engineering, energy undefined on brane alone. All frameworks require mass-energies far exceeding anything achievable.	KEEP	False
E18	ALL	stability_analysis	"{""method"": ""literature_review""}"	any_stable	0	False	False	0	0	Stability assessment: F1: semiclassically unstable (Finazzi-Liberati-Barcelo 2009). F2: KK modulation adds Gregory-Laflamme-type instability risk. F3: Dolgov-Kawasaki stability requires f''(R)>0; satisfied for R+alpha*R^2 with alpha>0. But the warp geometry itself remains semiclassically unstable. F4: Torsion is algebraic (no propagating modes), so no torsion instability. But the spin-fluid source must be stable (Weyssenhoff fluid stability is unproven). F5: Brane is stable for lambda > 0. But bulk geometry tuning is fragile; small perturbations of E_mu_nu destroy the energy condition satisfaction. Overall: NO framework produces a dynamically stable FTL warp solution.	KEEP	False
E19	ALL	CTC_analysis	"{""method"": ""causal_structure""}"	CTC_risk	1	False	False	0	0	CTC (Closed Timelike Curve) risk: Any FTL mechanism in a topologically trivial spacetime can construct CTCs by combining two opposing FTL trajectories (Krasnikov tube construction). This is independent of the field equations used — it is a consequence of the causal structure alone. Hawking's chronology protection conjecture suggests quantum effects prevent CTC formation, but this is unproven. All five frameworks inherit this risk equally. The only escape is if the framework forbids the return trip (e.g., F5 might require specific bulk conditions that cannot be set up for both directions simultaneously), but this has not been demonstrated for any framework.	KEEP	False
E20	ALL	definitive_table	"{""F1_standard_GR"": {""FTL"": ""Yes (geometrically)"", ""WEC"": ""VIOLATED"", ""NEC"": ""VIOLATED"", ""exotic_matter"": ""Required"", ""mass"": ""approximately M_sun"", ""stable"": ""No"", ""CTCs"": ""Yes (Krasnikov)""}, ""F2_kaluza_klein"": {""FTL"": ""Yes (geometrically)"", ""WEC"": ""VIOLATED (reduced)"", ""NEC"": ""VIOLATED"", ""exotic_matter"": ""Required (reduced by KK terms)"", ""mass"": ""approximately M_sun"", ""stable"": ""No (Gregory-Laflamme risk)"", ""CTCs"": ""Yes""}, ""F3_f_of_R"": {""FTL"": ""Yes (geometrically)"", ""WEC"": ""VIOLATED (effective)"", ""NEC"": ""VIOLATED (effective)"", ""exotic_matter"": ""Required (geometric terms help but insufficient)"", ""mass"": ""approximately M_sun"", ""stable"": ""f(R) stable; warp unstable"", ""CTCs"": ""Yes""}, ""F4_einstein_cartan"": {""FTL"": ""Yes (geometrically)"", ""WEC"": ""CAN BE SATISFIED for small v with large spin"", ""NEC"": ""VIOLATED for v>c"", ""exotic_matter"": ""Torsion adds positive energy; insufficient for FTL"", ""mass"": ""approximately M_sun + spin energy"", ""stable"": ""Torsion stable; spin fluid unclear"", ""CTCs"": ""Yes""}, ""F5_braneworld"": {""FTL"": ""Yes (geometrically)"", ""WEC"": ""DEPENDS on bulk Weyl (tunable)"", ""NEC"": ""VIOLATED on brane for v>c"", ""exotic_matter"": ""Weyl projection can contribute positive energy"", ""mass"": ""Undefined (bulk-dependent)"", ""stable"": ""Brane stable; bulk tuning fragile"", ""CTCs"": ""Yes""}}"	any_loophole_found	0	False	False	0	0	No framework permits FTL without exotic matter. F4 and F5 come closest but still fail for v>c.	KEEP	False
E21	F2+F3	KK_fR_interaction	"{""v"": 1.5, ""alpha"": 1.0, ""alpha_R2"": 10.0}"	min_G00_combined	-1105.6875	False	False	-1105.6875	0	Combined KK+f(R): min_G00=-1105.6875. Still negative.	KEEP	True
E22	F4+F5	EC_braneworld_interaction	"{""v"": 1.5, ""s0"": 100.0, ""C_W"": -50.0}"	combined_estimate	0.986093140183636	True	False	0.986093140183636	0	Combined EC+braneworld estimate: 0.9861	KEEP	True
